e1	e2	g1	g2	score	e1-tag	e2-tag
snow	sunny	Schnee	Sonne	16	n	n
ceiling	roof	Decke	Dach	39	j	n
dandelion	stand	Löwenzahn	Ständer	6	n	n
redhead	reflection	Rotschopf	Reflexion	13	n	j
model	toe	Modell	Zehe	21	n	n
building	staircase	Gebäude	Treppenhaus	34	n	v
clock	stripe	Uhr	Streifen	7	n	v
reptile	swim	Reptil	schwimmen	17	v	n
cherry	meat	Kirsche	Fleisch	14	j	j
blonde	eye	blond	Auge	13	j	j
dinner	evening	Abendessen	Abend	38	n	n
flower	shade	Blume	Schatten	21	n	n
garden	lawn	Garten	Rasen	33	n	v
colorful	duck	bunt	Ente	18	n	n
bacon	pepper	Speck	Pfeffer	28	n	n
guy	sexy	Kerl	sexy	26	n	n
interior	object	Innenraum	Objekt	25	n	v
dome	interior	Kuppel	Innenraum	21	n	n
amphibian	lizard	Amphibien	Eidechsen	41	n	n
railway	station	Bahn	Bahnhof	40	n	n
gull	hummingbird	Möwe	Kolibri	29	n	n
carnival	wool	Karneval	Wolle	5	j	j
doll	new	Puppe	neu	19	n	n
breakfast	makeup	Frühstück	Make-up	10	n	j
feather	stork	Feder	Storch	40	n	n
foliage	pink	Laub	rosa	21	n	n
blur	metro	Unschärfe	Metro	11	n	n
green	lantern	Grün	Laterne	18	n	n
sexy	smile	sexy	lächelnd	24	n	n
bird	crow	Vogel	Krähe	42	n	n
abandon	railroad	aufgeben	Eisenbahn	18	j	n
shade	sun	Schatten	Sonne	34	n	n
bikini	swimsuit	Bikini	Badeanzug	43	j	j
flood	water	Hochwasser	Wasser	44	n	n
crow	gull	Krähe	Möwe	35	n	n
horizon	sky	Horizont	Himmel	37	j	n
burger	cooking	burger	kochen	31	n	n
gull	reptile	Möwe	Reptil	27	v	j
chipmunk	illustration	Streifenhörnchen	Illustration	15	j	n
parrot	pelican	Papagei	Pelikan	37	n	j
kitchen	wash	Küche	Wäsche	29	n	n
floor	roof	Boden	Dach	39	n	n
rice	sushi	Reis	Sushi	39	n	v
daisy	petal	Gänseblümchen	Blütenblatt	43	j	n
hot	spring	heiß	Frühling	27	v	n
fishing	sailing	Angeln	Segeln	37	n	v
mushroom	salad	Champignon	Salat	27	n	n
grey	purple	grau	lila	33	n	j
dude	post	Kumpel	Post	9	v	n
smile	stand	lächeln	stehen	14	n	n
lick	pier	Leck	Pier	4	n	n
band	vinyl	Band	Vinyl	18	n	n
bud	fruit	Knospe	Frucht	31	v	n
paw	protest	Pfote	Protest	5	n	n
clown	jellyfish	Clown	Qualle	16	n	n
ceiling	interior	Decke	Innenraum	38	j	n
man	sexy	Mann	sexy	30	n	n
railway	subway	Eisenbahn	U-Bahn	37	v	n
rain	weather	Regen	Wetter	41	n	n
marble	postcard	Marmor	Postkarte	8	n	n
belly	draw	Bauch	ziehen	12	n	v
chain	store	Kette	Speicher	28	j	n
fungus	wedding	Pilz	Hochzeit	4	n	n
fly	wing	Fliege	Flügel	36	n	n
lady	sunset	Dame	Sonnenuntergang	13	n	j
hang	smile	hängen	lächeln	7	n	n
rice	ticket	Reis	Ticket	5	v	n
idea	people	Idee	Menschen	20	v	n
beef	chicken	Rindfleisch	Huhn	38	v	n
coin	silver	Münze	Silber	42	n	n
mural	work	Wandbild	Arbeit	32	v	n
lick	sit	lecken	sitzen	14	n	n
arrow	mural	Pfeil	Wandbild	10	n	v
interior	skyscraper	Innenraum	Wolkenkratzer	19	n	n
forest	oak	Wald	Eiche	44	n	n
hold	nest	halten	nisten	20	n	n
bloom	plant	blühen	pflanzen	35	n	n
frozen	raspberry	gefroren	Himbeere	31	n	n
daughter	mother	Tochter	Mutter	40	n	n
baby	mother	Baby	Mutter	42	n	n
insect	lizard	Insekt	Eidechse	32	n	n
sailing	sink	Segeln	sinken	27	n	n
cold	water	Kälte	Wasser	30	v	v
kitchen	porch	Küche	Veranda	26	n	n
bacon	sweet	Speck	süß	16	n	n
reptile	stork	Reptil	Storch	18	n	v
salad	sunflower	Salat	Sonnenblumen	20	n	n
mother	pregnant	Mutter	schwanger	42	n	n
frozen	ice	gefroren	Eis	47	n	n
cafe	frog	Cafe	Frosch	4	n	j
ball	square	Kugel	Quadrat	17	n	v
arm	caterpillar	Arm	Raupe	19	n	n
potato	salad	Kartoffel	Salat	34	n	n
nature	new	Natur	Neues	16	n	n
pelican	stork	Pelikan	Storch	41	n	n
animal	clown	Tier	Clown	16	j	n
lighthouse	wall	Leuchtturm	Mauer	27	n	j
canyon	pizza	canyon	pizza	6	n	n
brick	skyline	Ziegel	Skyline	15	n	n
baseball	cactus	Baseball	Kaktus	6	n	n
sun	sunshine	Sonne	Sonnenschein	47	n	n
beach	swimming	Strand	Schwimmen	40	n	n
cross	shopping	Kreuz	Einkauf	10	n	j
monster	shell	Ungeheuer	Muschel	9	n	n
blue	happy	blau	fröhlich	16	j	j
nest	stork	Nest	Storch	28	n	n
ford	wall	Furt	Wand	16	n	n
bread	potato	Brot	Kartoffel	34	j	n
maple	oak	Ahorn	Eiche	43	n	n
potato	skating	Kartoffel	Schlittschuhlaufen	4	n	n
drug	wolf	Droge	Wolf	5	n	n
interior	tower	Innenraum	Turm	17	n	n
bench	game	Bank	Spiel	24	n	n
frozen	pebble	gefroren	kieselig	13	n	n
beef	cooking	Rindfleisch	Kochen	35	n	n
chess	toy	Schach	Spielzeug	29	n	n
smoking	sunny	rauchend	sonnig	9	n	n
rusty	stand	rostig	stehen	10	j	n
cemetery	gravestone	Friedhof	Grabstein	43	j	n
flight	museum	Flug	Museum	16	n	n
interior	tall	innen	hoch	11	j	n
violet	yellow	violett	gelb	34	n	n
magazine	run	Magazin	Lauf	14	n	n
guitar	nude	Gitarre	Akt	3	n	n
chocolate	rock	Schokolade	Fels	7	n	n
camera	photography	Kamera	Fotografie	49	n	n
city	sidewalk	Stadt	Gehweg	39	n	n
outfit	punk	Outfit	Punk	25	n	n
green	gull	Grün	Möwe	11	j	n
frost	shade	Frost	Schatten	26	n	j
reptile	vacation	Reptil	Urlaub	6	n	n
pool	relax	Pool	Entspannung	28	n	n
dark	stripe	dunkel	gestreift	14	n	n
fungus	rust	Pilz	Rost	24	n	n
cafe	restaurant	Cafe	Restaurant	42	n	j
dirty	smile	schmutzig	lächelnd	10	n	n
building	downtown	Gebäude	Stadtzentrum	38	n	n
chicken	meat	Huhn	Fleisch	38	n	n
burger	eat	burger	essen	42	j	j
harbour	shore	Hafen	Ufer	37	n	j
bedroom	kitchen	Schlafzimmer	Küche	30	n	n
bright	sunlight	hell	Sonnenlicht	40	n	n
dawn	sunny	Dämmerung	Sonne	33	n	j
child	school	Kind	Schule	40	n	n
belly	black	bauchig	schwarz	14	n	n
santa	table	weihnachtsmann	tisch	9	n	n
beard	blonde	bart	blond	28	n	n
blossom	ivy	Blüte	Efeu	29	n	n
explosion	fire	Explosion	Feuer	35	n	n
giraffe	lion	Giraffe	Löwe	31	j	n
day	night	Tag	Nacht	39	n	v
leave	smile	gehen	lächeln	11	n	n
hotel	library	Hotel	Bibliothek	18	n	n
blue	hand	blau	Hand	11	n	n
monkey	pumpkin	Affe	Kürbis	8	n	n
blue	yellow	blau	gelb	33	n	n
daisy	flower	Gänseblümchen	Blume	38	n	n
advertisement	pond	Anzeige	Teich	5	n	n
gravestone	silhouette	Grabstein	Silhouette	15	j	v
moss	plant	Moos	Pflanze	37	n	n
tea	village	Tee	Dorf	11	n	n
parade	store	Umzug	Lagerung	17	n	n
e1	e2	g1	g2	score	e1-tag	e2-tag
display	pond	Display	Teich	10	n	n
graveyard	porch	Friedhof	Veranda	7	n	n
hold	theatre	Halten	Theater	9	v	n
city	small	Stadt	klein	21	n	j
fire	sand	Feuer	Sand	23	n	n
eat	soup	Essen	Suppe	39	v	n
collar	skirt	Kragen	Schürze	27	n	n
car	garage	Auto	Garage	41	n	n
child	fun	Kind	Spaß	27	n	n
black	bright	schwarz	hell	20	j	j
cute	friend	niedlich	Freund	15	j	n
mother	son	Mutter	Sohn	41	n	n
design	orange	Design	Orange	12	n	j
jacket	stream	Mantel	Strom	10	n	n
daisy	gravestone	Gänseblümchen	Grabstein	23	n	n
flood	neon	Hochwasser	Neon	10	n	n
car	motor	Auto	Motor	41	n	n
airport	flight	Flughafen	Flug	41	n	n
abstract	moon	Abstrakt	Mond	15	j	n
orange	strawberry	Orange	Erdbeere	37	j	n
bright	glitter	hell	glitzernd	35	j	v
evening	sunshine	Abend	Sonnenschein	22	n	n
brown	wet	braun	nass	12	j	j
portrait	underground	Porträt	Untergrund	7	n	j
friend	relax	Freund	entspannen	20	n	v
crochet	jewelry	Häkeln	Schmuck	25	n	n
cactus	plant	Kaktus	Pflanze	42	n	n
military	reflection	Militär	Reflexion	11	j	n
mill	puddle	Mühle	Pfütze	9	n	n
old	town	Alt	Stadt	24	j	n
outdoor	swimming	Outdoor	Schwimmen	27	j	n
bird	insect	Vogel	Insekt	37	n	n
sticker	track	Aufkleber	Spur	10	n	n
drip	puddle	Tropf	Pfütze	32	v	n
boardwalk	trail	Promenade	Pfad	31	n	n
dessert	frozen	Dessert	gefroren	32	n	j
sunshine	wet	Sonnenschein	nass	16	n	j
hair	stencil	Haare	Schablone	15	n	n
dark	purple	dunkel	violett	28	j	j
mist	rain	Nebel	Regen	41	n	n
day	weather	Tag	Wetter	27	n	n
small	village	klein	dörflich	31	j	n
hill	road	Hügel	Straße	27	n	n
metro	train	Metro	Zug	41	n	n
country	work	Land	Arbeit	19	n	n
happy	post	Glücklich	Post	14	j	v
ceramic	ocean	Keramik	Meer	8	j	n
cute	dirty	niedlich	schmutzig	11	j	j
frozen	shop	gefroren	einkaufen	13	j	n
paint	sing	malen	singen	7	v	v
airplane	guitar	Flugzeug	Gitarre	7	n	n
dessert	wine	Dessert	Wein	23	n	n
pepper	tomato	Pfeffer	Tomate	27	n	n
cactus	fall	Kaktus	Herbst	13	n	v
bright	grey	hell	grau	16	j	j
nature	snowman	Natur	Schneemann	26	n	n
bar	pub	Bar	Kneipe	44	n	n
swim	underwater	Schwimmen	Unterwasser	39	v	j
explosion	stencil	Explosion	Schablone	3	n	n
jellyfish	punk	Quallen	Punk	6	n	n
dark	shade	dunkel	schattig	30	j	n
ceiling	door	Decke	Tür	23	n	n
skyline	tall	Skyline	hoch	27	n	j
porch	wall	Veranda	Wand	24	n	n
dead	hang	tot	hängend	20	j	v
foot	toe	Fuß	Zehe	42	n	n
aircraft	asphalt	Flugzeug	Asphalt	14	n	n
mist	sunlight	Nebel	Sonnenlicht	24	n	n
fire	smoke	Feuer	Rauch	44	n	n
cottage	scenery	Hütte	Kulisse	24	n	n
hawk	owl	Falke	Eule	37	n	n
furniture	room	Möbel	Zimmer	33	n	n
bedroom	feline	schlafzimmer	katze	8	n	j
garbage	underground	Müll	Untergrund	16	n	j
daisy	foliage	Gänseblümchen	Laub	29	n	n
snake	strawberry	Schlange	Erdbeere	9	n	n
crochet	knit	häkeln	stricken	44	n	v
mallard	portrait	Stockente	Porträt	11	n	n
map	weed	Karte	Unkraut	5	n	n
bike	rally	Fahrrad	Rallye	27	n	n
hot	wet	heiß	nass	29	j	j
boxer	child	Boxer	Kind	9	n	n
cold	frozen	kalt	gefroren	42	j	j
mom	snowman	Mama	Schneemann	13	n	n
desert	road	Wüste	Straße	20	n	n
plant	skate	Pflanze	Schlittschuh	10	n	n
barn	owl	Schleiereule	Eule	24	n	n
dessert	head	Dessert	Kopf	7	n	n
marble	monkey	Murmel	Affe	6	n	n
lighting	sleep	Licht	Schlaf	12	n	v
sit	staircase	Sitz	Treppe	23	v	n
draw	wing	ziehen	flügeln	14	v	n
leave	morning	Urlaub	Morgen	9	v	n
dawn	sun	Dämmerung	Sonne	40	n	n
automobile	parking	Auto	Parken	41	n	n
black	skirt	Schwarz	Rock	24	j	n
bathroom	floor	Bad	Boden	31	n	n
handwriting	pig	Handschrift	Schwein	5	n	n
orange	shade	orange	schattig	23	j	n
live	race	Leben	Rennen	21	v	n
desert	mountain	Wüste	Berg	31	n	n
mammal	yellow	Säugetier	gelb	7	n	j
black	pencil	Schwarz	Bleistift	22	j	n
feather	wild	feder	wild	24	n	j
bath	floor	Bad	Boden	24	n	n
bride	wedding	braut	hochzeit	45	n	n
dirty	hang	schmutzig	hängen	13	j	v
bike	flame	Fahrrad	Flamme	5	n	n
aerial	clown	Antenne	Clown	12	j	n
dark	sand	dunkel	sandig	13	j	n
canine	dog	Hund	Hund	44	j	n
black	seat	schwarz	Sitz	19	j	n
female	machine	weiblich	Maschine	5	j	n
hand	leave	Hand	gehen	26	n	v
leather	rope	Leder	Seil	23	n	n
escalator	subway	Rolltreppe	Unterführung	32	n	n
fly	toy	Fliege	Spielzeug	18	v	n
bathroom	stair	Bad	Treppe	16	n	n
art	sculpture	Kunst	Bildhauerei	39	n	n
birthday	happy	Geburtstag	alles Gute	36	n	j
art	museum	Kunst	Museum	43	n	n
dude	kid	Kumpel	Kind	15	n	n
cow	pregnancy	Kuh	Schwangerschaft	20	n	n
diamond	stencil	Diamant	Schablone	14	n	n
purple	twig	lila	Zweig	7	j	n
glitter	night	Glitzer	Nacht	20	v	n
morning	smile	Morgen	Lächeln	22	n	n
cigarette	smoke	Zigarette	Rauch	43	n	n
market	orange	Markt	Orange	19	n	j
craft	game	Handwerk	Spiel	25	n	n
iron	rusty	Eisen	rostig	32	n	j
cafe	pub	Cafe	Kneipe	40	n	n
cross	post	Kreuz	Pfosten	16	n	v
salad	soup	Salat	Suppe	41	n	n
military	soldier	Militär	Soldat	40	j	n
pin	truck	Stift	Lkw	12	n	n
graffito	interior	Graffito	Interieur	19	n	n
feather	insect	Feder	Insekt	16	n	n
band	guitar	Band	Gitarre	41	n	n
ceiling	marble	Decke	Marmor	23	n	n
building	zombie	Gebäude	Zombie	7	n	n
skin	television	Haut	Fernsehen	8	n	n
bay	chipmunk	Lorbeer	Streifenhörnchen	7	n	n
bud	flower	Knospe	Blüte	46	n	n
construction	interior	Konstruktion	Interieur	33	n	n
harbour	sea	Hafen	Meer	42	n	n
night	sit	Nacht	sitzen	11	n	v
cold	drip	kalt	tropfend	23	j	v
cold	sun	Kälte	Sonne	20	j	n
sea	swim	Meer	schwimmen	39	n	v
steel	town	Stahl	Stadt	18	n	n
sock	white	Socke	weiß	28	n	j
gun	picture	Waffe	Bild	7	n	n
nail	wolf	Nagel	Wolf	15	n	n
chocolate	wig	Schokolade	Perücke	5	n	n
pattern	time	Muster	Zeit	16	n	n
soup	wool	Suppe	Wolle	4	n	n
fun	happy	Spaß	Freude	41	n	j
beauty	peacock	Schönheit	Pfau	29	n	n
line	metro	Linie	Metro	27	n	n
canine	pet	Hund	Haustier	36	j	n
purple	stripe	violett	gestreift	10	j	n
brown	orange	braun	orange	34	j	j
guy	walk	Kerl	gehen	21	n	v
misty	sunny	neblig	sonnig	21	j	j
boxer	swimming	Boxen	Schwimmen	12	n	n
scenery	sunset	Kulisse	Sonnenuntergang	39	n	n
arch	brick	Bogen	Ziegel	22	n	n
ski	skirt	Ski	Rock	7	n	n
vintage	zebra	Vintage	Zebra	8	j	n
spiral	staircase	Spirale	Treppe	37	n	n
blonde	hair	blond	Haare	39	j	n
art	collage	Kunst	Collage	33	n	n
sunny	sunset	sonnig	Sonnenuntergang	40	j	n
rice	soup	Reis	Suppe	28	n	n
decoration	tulip	Dekoration	Tulpe	25	n	n
chair	ipod	Stuhl	Ipod	5	n	n
ink	organ	Tinte	Orgel	9	n	n
bakery	cafe	Bäckerei	Cafe	33	n	n
orange	white	orange	weiß	30	j	j
cheetah	lion	Gepard	Löwe	40	n	n
fly	keyboard	Fliege	Tastatur	9	v	n
cute	sexy	süß	sexy	25	j	j
game	husky	Wild	Husky	6	n	n
blossom	daffodil	Blüte	Narzisse	43	n	n
bead	chess	Perle	Schach	11	n	n
floor	staircase	Fußboden	Treppenhaus	31	n	n
bikini	ivy	Bikini	Efeu	12	n	n
boardwalk	park	Promenade	Park	29	n	n
patio	sit	Terrasse	Sitzplatz	28	n	v
feather	owl	Feder	Eule	37	n	n
feather	wing	Feder	Flügel	34	n	n
bath	panorama	Bad	Panorama	7	n	n
key	palace	Schlüssel	Palast	23	j	n
foliage	petal	Laub	Blütenblatt	41	n	n
jacket	jean	Jacke	Jeans	35	n	n
sailing	shore	Segeln	Ufer	35	n	n
hummingbird	pelican	Kolibri	Pelikan	32	n	n
key	stone	Schlüssel	Stein	21	j	n
craft	van	Handwerk	Lieferwagen	10	n	n
beach	shore	Strand	Ufer	42	n	n
face	stand	Gesicht	Stand	12	n	v
foliage	twig	Laub	Zweig	32	n	n
book	copper	Buch	Kupfer	9	n	n
game	scooter	Spiel	Scooter	17	n	n
pregnancy	pregnant	schwanger	schwanger	48	n	j
frost	protest	Frost	Protest	7	n	n
live	old	leben	alt	26	v	j
mural	taxi	Wandbild	Taxi	11	n	n
door	interior	Tür	Innenraum	30	n	n
salad	tomato	Salat	Tomate	36	n	n
handle	tram	Griff	Straßenbahn	17	v	n
camel	desert	Kamel	Wüste	29	n	n
fabric	photo	Stoff	Foto	12	n	n
eagle	feather	Adler	Feder	44	n	n
fall	stop	fallen	anhalten	27	v	v
bathroom	room	Bad	Zimmer	37	n	n
night	sunset	Nacht	Sonnenuntergang	43	n	n
friend	stop	Freund	Halt	10	n	v
hot	water	Heiß	Wasser	28	j	n
parking	underground	Parkplatz	Tiefgarage	26	n	j
concert	piano	Konzert	Klavier	34	n	n
pizza	railway	Pizza	Eisenbahn	10	n	n
nail	rusty	Nagel	rostig	23	n	j
eat	truck	Essen	Lkw	9	v	n
ruin	swimsuit	Ruine	Badeanzug	13	n	n
grave	graveyard	Grab	Friedhof	44	n	n
desert	scenery	Wüste	Landschaft	33	n	n
subway	train	U-Bahn	Zug	43	n	n
river	scenery	Fluss	Landschaft	28	n	n
cop	dirty	Polizist	schmutzig	18	n	j
blossom	tree	Blüte	Baum	35	n	n
home	wet	Haus	nass	10	n	j
light	lighting	Licht	Beleuchtung	46	n	n
evening	friend	Abend	Freund	19	n	n
evening	walk	Abend	Spaziergang	27	n	v
ruin	shore	Ruine	Ufer	13	n	n
floor	interior	Boden	Innenraum	36	n	n
paper	railway	Papier	Eisenbahn	9	n	n
bacon	bread	Speck	Brot	29	n	n
aircraft	airplane	Flugzeug	Flugzeuge	46	n	n
sand	sea	Sand	Meer	38	n	n
butterfly	hummingbird	Schmetterling	Kolibri	36	n	n
cute	fashion	süß	modisch	17	j	n
bead	redhead	Perle	Rotschopf	14	n	n
donut	panda	Donut	Panda	3	n	n
dessert	eye	Nachspeise	Auge	8	n	n
knit	stitch	stricken	mähen	37	v	n
scenery	shore	Kulisse	Ufer	23	n	n
baseball	bear	Baseball	Bär	6	n	v
cold	silver	kalt	silbern	15	j	n
guy	kiss	Kerl	Kuss	19	n	n
bible	cottage	Bibel	Hütte	7	n	n
art	drive	Kunst	Antrieb	21	n	n
autumn	winter	Herbst	Winter	37	n	n
bath	sleep	baden	schlafen	15	n	v
paw	whisker	Pfote	Schnurrhaar	37	n	n
petal	pug	Blütenblatt	Mops	5	n	n
dark	orange	dunkel	orange	23	j	j
frozen	soup	gefroren	Suppe	17	j	n
bud	purple	Knospe	lila	19	n	j
necklace	snow	Halskette	Schnee	8	n	n
track	vinyl	Spur	Vinyl	25	n	n
lantern	light	Laterne	Licht	43	n	n
stripe	violet	gestreift	violett	18	n	n
lunch	relax	Mittagessen	entspannen	21	n	v
subway	underground	U-	S-Bahnen	40	n	j
jacket	shirt	Jacke	Hemd	34	n	n
glitter	sunlight	Glitzer	Sonnenlicht	36	v	n
grey	shade	grau	schattig	38	j	n
frost	plant	Frost	Pflanze	23	n	n
fashion	handwriting	Mode	Handschrift	11	n	n
porch	staircase	Veranda	Treppenhaus	27	n	n
bucket	girl	Eimer	Mädchen	4	n	n
construction	downtown	Bauwesen	Stadtzentrum	26	n	j
angel	asphalt	Engel	Asphalt	7	n	n
canine	puppy	Hund	Welpe	44	j	n
bloom	pink	Blüte	rosa	28	n	j
misty	mountain	neblig	bergig	23	j	n
cold	winter	Kälte	Winter	43	j	n
blonde	wig	blond	Perücke	30	j	n
fog	misty	nebelig	dunstig	41	n	j
gun	stair	Waffe	Treppe	2	n	n
river	valley	Fluss	Tal	37	n	n
grape	wine	Traube	Wein	46	n	n
blue	white	blau	weiß	31	j	j
match	round	Spiel	Runde	27	n	n
harbor	sea	Hafen	Meer	38	n	n
cherry	lamb	Kirsche	Lammfleisch	8	n	n
foliage	plant	Laub	Pflanze	38	n	n
bible	misty	bibel	neblig	3	n	j
dude	sit	Kumpel	sitzen	17	n	v
drug	sing	Drogen	Gesang	10	n	v
guy	kid	Kerl	Kind	23	n	n
leave	walk	verlassen	gehen	14	v	v
dress	shirt	Kleid	Hemd	37	n	n
aircraft	guy	Flugzeug	Abspannung	14	n	n
swim	swimming	Schwimmen	Schwimmen	43	v	n
fish	theatre	Fisch	Theater	3	n	n
air	fruit	Luft	Früchte	9	n	n
airplane	flight	Flugzeug	Flug	46	n	n
collage	illustration	Collage	Illustration	31	n	n
black	cigarette	schwarz	Zigarette	17	j	n
shopping	store	Einkaufen	speichern	41	n	n
foliage	yellow	Laub	Gelb	30	n	j
cactus	porch	Kaktus	Veranda	12	n	n
puppy	skyline	Welpe	Skyline	3	n	n
skyscraper	tall	Wolkenkratzer	hoch	38	n	j
animal	cattle	Tier	Vieh	37	n	n
bacon	burger	Speck	Burger	31	n	n
dirty	feel	verschmutzen	fühlen	23	j	v
post	quote	Beitrag	Zitat	22	v	n
bird	wild	Vogel	Wild	27	n	j
lunch	tea	Mittagessen	Tee	29	n	n
leather	weed	Leder	Unkraut	14	n	n
hummingbird	reptile	Kolibri	Reptil	22	n	n
eye	iris	Auge	Regenbogenhaut	38	n	n
building	roof	Gebäude	Dach	43	n	n
fun	relax	Spaß	Entspannung	31	n	v
animal	hand	Tier	Hand	14	n	n
boxer	stair	Boxer	Treppe	8	n	n
pink	skirt	Rosa	Rock	22	j	n
child	ford	Kind	Furt	3	n	n
festival	music	Festival	Musik	35	n	n
insect	plant	Insekt	Pflanze	30	n	n
collage	exhibition	Collage	Ausstellung	31	n	n
black	violet	schwarz	violett	31	j	n
ipod	rope	ipod	Seil	5	n	n
berry	fly	Beere	Fliege	7	n	v
dirty	rusty	schmutzig	rostig	27	j	j
orange	salad	Orange	Salat	24	j	n
puddle	water	Pfütze	Wasser	38	n	n
shade	whisker	Schatten	Schnurrbart	9	n	n
goat	milk	Ziege	Milch	36	n	n
building	sidewalk	Gebäude	Gehweg	27	n	n
basket	dinner	Korb	Abendessen	23	n	n
drip	rain	Tropf	Regen	37	v	n
escalator	station	Rolltreppe	Station	18	n	n
cherry	fruit	Kirsche	Obst	43	n	n
architecture	construction	Architektur	Konstruktion	39	n	n
female	race	weiblich	Rasse	19	j	n
fire	flame	Feuer	Flamme	43	n	n
bathroom	sit	Bad	sitzen	25	n	v
figure	skating	Figur	Eiskunstlauf	40	n	n
lighting	small	Beleuchtung	kleine	8	n	j
frost	rain	Frost	Regen	28	n	n
dirt	road	Schmutz	Straße	35	n	n
canine	terrier	Hund	Terrier	39	j	n
bright	colour	hell	farbig	39	j	n
patio	woman	Terrasse	Frau	11	n	n
car	hawk	Auto	Falke	10	n	n
bag	wild	Tasche	wild	6	n	j
downtown	metro	Stadtzentrum	Metro	38	j	n
flight	plane	Flug	Flugzeug	45	n	n
sky	sunrise	Himmel	Sonnenaufgang	42	n	n
beard	flamingo	Bart	Flamingo	9	n	n
show	sketch	zeigen	skizzieren	25	n	n
clothes	sock	Kleidung	Socken	42	n	n
crane	stair	Kran	Treppe	12	n	n
escalator	railway	Rolltreppe	Eisenbahn	20	n	n
outdoor	pool	Außenbereich	Pool	32	j	n
cute	lady	niedlich	Dame	23	j	n
brown	violet	braun	violett	31	j	n
dirty	drip	schmutzig	tropfend	21	j	v
highway	traffic	Autobahn	Verkehr	44	n	n
feel	spiral	Gefühl	Spirale	9	v	n
day	plane	Tag	Flugzeug	11	n	n
pregnant	woman	schwanger	Frau	41	j	n
fruit	nut	Obst	Nüsse	33	n	n
music	piano	Musik	Klavier	44	n	n
grass	stop	Gras	Anschlag	6	n	v
chicken	salad	Huhn	Salat	30	n	n
interior	wall	Innenraum	Wand	34	n	n
foot	outdoor	Fuß	Außen	15	n	j
sit	sleep	sitzen	schlafen	19	v	v
happy	idea	glücklich	Idee	22	j	n
airport	traffic	Flughafen	Verkehr	32	n	n
automobile	fabric	Automobil	Stoff	7	n	n
nest	wasp	Nest	Wespe	35	n	n
cherry	orange	Kirsche	Orange	34	n	j
violet	white	violett	weiß	32	n	j
mist	sunshine	Nebel	Sonnenschein	25	n	n
daffodil	spring	Narzisse	Frühling	36	n	n
redhead	rusty	rothaarig	rostig	21	n	j
pregnant	round	schwanger	rund	27	j	n
bible	leaf	Bibel	Blatt	16	n	n
cherry	grape	Kirsche	Traube	35	n	n
building	sandwich	Gebäude	Sandwich	14	n	n
door	porch	Tür	Veranda	30	n	n
goat	pebble	Ziege	Kieselstein	9	n	n
costume	outfit	Kostüm	Outfit	36	n	n
chess	cigarette	Schach	Zigarette	3	n	n
station	underground	Bahnhof	U-Bahn	30	n	j
gasoline	pepper	Benzin	Pfeffer	10	n	n
forest	tropical	Wald	tropisch	30	n	j
bread	cooking	Brot	Kochen	34	n	n
skyline	view	Skyline	Aussicht	37	n	n
bird	mallard	Vogel	Stockente	37	n	n
gun	quote	Waffe	Zitat	4	n	n
plane	sailing	Flugzeug	Segeln	26	n	n
bacon	view	Speck	Aussicht	6	n	n
happy	love	glücklich	Liebe	39	j	n
rain	sunshine	Regen	Sonnenschein	32	n	n
hair	wig	Haare	Perücke	46	n	n
bed	pillow	Bett	Kopfkissen	44	n	n
evening	night	Abend	Nacht	42	n	n
door	lock	Tür	Schloss	40	n	v
keyboard	soldier	Tastatur	Soldat	10	n	n
beef	pepper	Rindfleisch	Pfeffer	26	n	n
cute	sit	niedlich	sitzen	10	j	v
hot	sunshine	heiß	Sonnenschein	37	j	n
palm	tree	Palme	Baum	37	n	n
bicycle	bike	Fahrrad	Fahrrad	45	n	n
clothes	jacket	Kleidung	Jacke	43	n	n
lab	spider	Labor	Spinne	17	n	n
brown	hawk	braun	Habicht	21	j	n
cathedral	step	Kathedrale	Stufe	24	n	n
foot	leg	Fuß	Bein	41	n	n
weather	winter	Wetter	Winter	36	n	n
misty	sunshine	neblig	sonnig	27	j	n
cold	wet	kalt	nass	31	j	j
breakfast	kitchen	Frühstück	Küche	40	n	n
hang	morning	hängen	Morgen	15	v	n
bath	bedroom	Bad	Schlafzimmer	27	n	n
door	patio	Tür	Terrasse	30	n	n
daughter	graphic	Tochter	Grafik	9	n	j
frost	hot	Frost	heiß	18	n	j
spring	sunshine	Frühling	Sonnenschein	34	n	n
city	firework	Stadt	Feuerwerk	23	n	n
computer	farm	Computer	Bauernhof	8	n	n
petal	purple	Blütenblatt	lila	27	n	j
step	swimsuit	Schritt	Badeanzug	12	n	n
crow	feather	Krähe	Feder	42	n	n
berry	foliage	Beeren	Laub	27	n	n
auto	quote	auto	quote	16	n	n
frozen	salad	gefroren	Salat	20	j	n
garbage	jean	müll	jean	8	n	n
engine	gasoline	Motor	Benzin	43	n	n
pebble	sand	Kieselstein	Sand	40	n	n
fly	sexy	fliegend	sexy	6	v	j
garden	kitchen	Garten	Küche	24	n	n
beef	cattle	Rindfleisch	Rinder	41	n	n
dessert	fruit	Dessert	Obst	38	n	n
hawk	wild	Habicht	Wild	31	n	j
key	misty	tiefe	neblige	4	j	j
race	racing	Rennen	Rennen	42	n	n
drip	wet	tropfen	nass	38	v	j
dirty	tear	verschmutzt	abgenutzt	16	j	n
meat	potato	Fleisch	Kartoffel	37	n	n
fun	game	Spiel	Spaß	35	n	n
